Tender Number,Lot Number,Winner,Winning Offer,Dev Expenses
190/2024,,"רמי שבירו הנדסה בניה והשקעות בע""מ, רייסדור יזמות בע""מ","301,800,555","109,961,866"
190/2024,,"צרפתי צבי ושות חברה לבניין וקבלנות בע""מ","659,570,026","161,319,914"
